"","gene","logFC","logCPM","PValue","FDR"
"51","CHIT1",-1.80006180142952,2.86746011283606,0.0146559171767942,1
"52","RRAD",2.55743300006642,0.15323739411568,0.0148011652394211,1
"53","LOC118539898",-1.21045417058117,0.676136862306601,0.0158069294447641,1
"54","IFITM3",-1.26095450415361,6.93908073515703,0.0164659278409274,1
"55","CUNH11orf54",1.05061921862383,2.03448480206509,0.0165857112510956,1
"56","MSR1",-1.12333432960716,3.11577924229422,0.0167937758356231,1
"57","TCAP",-6.13331832352747,0.753072750254683,0.0168203090610654,1
"58","IFI6",-3.13660768363959,5.3930124905695,0.0168289960403761,1
"59","DAGLA",1.32495495978619,1.21519361048276,0.0173133364060798,1
"60","KCNJ12",-1.20405842889572,1.01609459135783,0.0174668516047176,1
"61","USP35",1.0145043244452,3.15048079196108,0.0175019532841384,1
"62","COL2A1",-1.37944131697693,0.710239724362398,0.0176624845464323,1
"63","LY6H",-1.13543277882582,7.26377373343337,0.0186872475319966,1
"64","LOC118537069",-2.11545289688672,2.37078381346221,0.0188872698471715,1
"65","SCUBE1",1.72744368335928,4.39591495658159,0.018930912243986,1
"66","TMC4",-1.01343432685499,3.82511419230813,0.0195695384609452,1
"67","FN1",-1.01642270517012,7.24091654452952,0.0203047012460313,1
"68","IGHA2",1.09065039301439,7.97771582015104,0.0207601428609581,1
"69","GARNL3",-1.00733130369018,2.68140872962829,0.0212308195674525,1
"70","CFB",-1.59571355476782,3.01985495019654,0.0213391279441959,1
"71","CHI3L1",-1.56027161211918,4.17538884100272,0.0215716309501241,1
"72","UNCX",1.02166847823697,1.0083914034993,0.0222780228727915,1
"73","TSNAXIP1",1.69035868941794,1.81514484169623,0.0223778626532818,1
"74","GAL",-1.47820781945571,1.86575649980076,0.0235724718393009,1
"75","TSPAN11",-1.0855583042809,3.69924944687843,0.0235828939998438,1
"76","WDR66",-1.87403830962893,1.06474358256554,0.0238639005278627,1
"77","LOC118552207",1.36765233079866,0.662232608296037,0.0241059052531365,1
"78","TYMS",1.03804789712335,3.54177809906399,0.024366265382308,1
"79","LOC118553030",1.29492144830906,0.60390138705937,0.0246091146038241,1
"80","CLCN1",1.20457529885835,0.70869440512913,0.0261876264681829,1
"81","DNAJC12",-1.21383251840574,2.0276072799392,0.0265402062755449,1
"82","RUFY4",-1.41443970470923,2.14995768381878,0.0269166259295869,1
"83","RHBDF1",1.09067962026068,2.03696710880183,0.0270367818861485,1
"84","SLC49A3",-1.22912267595419,4.59722701400029,0.0273787079754927,1
"85","MORN3",-1.92340118293043,0.156787604408404,0.0278270668272961,1
"86","NCR3",-1.36770858887877,3.31122203548443,0.0280615135362413,1
"87","CCDC80",1.17758258810707,0.716018266881119,0.0283580327096597,1
"88","DNAJB4",1.13428181260279,2.30909884565904,0.0298251175281871,1
"89","KCNJ14",-1.30034216197441,1.81219953647165,0.030354160567171,1
"90","ZNF808",2.71786740092214,1.55816551702148,0.0304472989762892,1
"91","APOBEC3G",-1.95757068710333,4.6150599328905,0.030476150233147,1
"92","LOC116621816",2.20013243156391,4.64844476171165,0.0312677178770163,1
"93","RAI2",1.07898103616452,1.30882971194372,0.0318298473983511,1
"94","SEC61A2",-1.82603984102155,1.52992987172328,0.0320497296160635,1
"95","HSF2BP",-1.58198221090843,0.654848083724586,0.0321849483451923,1
"96","RCAN3",1.76372329669501,1.561164583755,0.0328312990064337,1
"97","CTSF",-1.12511284587914,1.60005433900668,0.0353300835930531,1
"98","PEX14",-2.078650504116,2.23711765924331,0.0355070038613129,1
"99","HSPA2",1.23408254393462,3.48670232493508,0.0376813577968464,1
"100","ZNF782",1.18664346239893,0.807644809263258,0.0378757559375012,1
"101","LOC118545699",1.02894511279902,1.33875831813317,0.0384153265514704,1
"102","KLHL20",-1.24940103489094,3.98110722348624,0.0389175469003407,1
"103","LOC118522388",1.2697364849361,0.903213974673926,0.0409789602779159,1
"104","APOE",-1.31238741433659,1.649251235396,0.0417011313871104,1
"105","AMOTL1",-1.28103875241357,1.14755134095985,0.0417531162126677,1
"106","C2",-2.06957374523963,3.2803188703458,0.0422448693493117,1
"107","IL36B",-2.25141110201041,0.227904132247563,0.0425702610872374,1
"108","PROM2",-1.09347793409387,1.8404883904733,0.0428081126106293,1
"109","LOC118547482",-1.01830149736697,1.11029051625143,0.0428665761418134,1
"110","ERMAP",1.79416187807292,2.76526339545433,0.0433580477012689,1
"111","LOC118540749",-2.69424603435473,0.14477312999804,0.0441828667591997,1
"112","NR4A2",1.00774902012395,0.704151755205468,0.0445265570785866,1
"113","VWA5A",-1.09798279688176,3.6042416297925,0.0446338235837098,1
"114","OCA2",-2.32080786762811,1.12195493368895,0.0450698649072965,1
"115","SYT11",1.01584652947024,2.46776105264138,0.0454577415499548,1
"116","CPA3",-1.12381832074687,1.35320620870715,0.0464780987591283,1
"117","LOC118542332",1.24371691947297,5.69812754004636,0.0470161094759055,1
"118","ANKRD33",-1.08428562836705,1.49222863019698,0.0475009476546537,1
"119","LOC118554123",-1.92833280064687,1.22005603639668,0.0482378207085597,1
"120","ACCS",-2.20716970285081,1.93840189350181,0.048952786091413,1
"121","SMAD9",-1.35435767903276,2.41489783522005,0.0496109149902887,1
"122","SH3PXD2A",-1.09076373062145,1.57800622604342,0.0496968392466703,1
"123","ZC2HC1B",-1.02543029590474,1.63327455713887,0.0497964281567254,1
