"","logFC","logCPM","PValue","FDR"
"B4GALNT1",-2.50877271958666,-0.427408861881267,0.000751311514812636,0.0806765139299424
"DAB2",-1.81057900829793,2.2024129160608,0.000751519826837976,0.0806765139299424
"RNF152",-2.15935511644562,-0.681291933222934,0.000788502198953593,0.0831719841238398
"IGFBP7",-1.31226783658806,1.72341985063616,0.00079145429558006,0.0831719841238398
"ESM1",-2.7554183988201,-0.988840045481156,0.00079250841730744,0.0831719841238398
"CHAD",-3.18220761421035,-0.80038888403909,0.000841303335223203,0.0876388800240289
"MAP7",-1.58400098975404,0.878810447483505,0.000928772972010762,0.0960392228337305
"LAMA4",-2.53746042768856,-0.485652163697413,0.000965819005168242,0.099140968391832
"COL3A1",-2.13847976886588,0.0770226913743792,0.00102155314044468,0.104102187058504
"IGF2",-2.34247591271327,-0.66597563068079,0.00106699740078325,0.10795096724615
"SLC8A3",-2.69842222600694,-0.864541738311192,0.00113755318586915,0.114267217520556
"PARVA",-2.31589249151581,-0.872066445893044,0.00121996978192224,0.121263822177771
"LAMB1",-2.30232227056955,-0.517815388382882,0.00122445159277846,0.121263822177771
"RASGRF2",-2.8571743749175,-1.03690171567294,0.00133965656397999,0.131745386428326
"ANKRD9",2.02743856314332,1.45267848010869,0.00138594134122679,0.135350646400503
"ZNF521",-1.66873876276886,-0.0733028513494303,0.00140223281618577,0.135997242027727
"SHANK1",-2.21627604081066,-0.430897461396079,0.00155675058009949,0.149949201424241
"CACNA1B",-1.37355449744366,0.344456995804403,0.00162030555615553,0.154511135656522
"MYO1B",-1.39007834153976,0.663277902267289,0.00162608604687231,0.154511135656522
"PRG2",-1.6545329070045,5.59123717952436,0.00178501649521653,0.168474409209598
"FSTL1",-1.09776853368786,2.37700025239461,0.00190561733398721,0.178657977119081
"SMPD3",-2.43575100153043,-0.745638131711712,0.00201259951922996,0.187438324761132
"GASK1B",-2.18769827719637,-0.677137932527593,0.00204538995849139,0.189238940699108
"SCIN",-1.12423852180444,2.19662051644769,0.00220545773832754,0.202714720092159
"CBS",-2.30977881455006,-0.715773472204114,0.00224135232364643,0.204676219009349
"LGALSL",-1.21130013360621,1.90600524651786,0.0023354679883556,0.209826628808459
"FAM171A1",-1.62050783171299,-0.102825979927169,0.00234251445089441,0.209826628808459
"ADCY6",-1.3321825846708,1.87363085661403,0.00245398990502384,0.218420633128799
