"","gene","logFC","logCPM","PValue","FDR"
"56","CCND1",-1.11868239906948,1.85022531599357,0.0141190321853007,1
"57","LOC118553030",1.18172952511678,1.42343718365883,0.0141894308218174,1
"58","FN1",-1.0403283176254,7.61682357542338,0.0146066468263607,1
"59","IFI6",-2.99054383933228,5.95893846537949,0.0148533104394054,1
"60","XPNPEP2",-1.20101917638929,1.25839291815908,0.0150994504506144,1
"61","IER2",-1.34081587832272,2.26453469652166,0.0151362910982709,1
"62","ZNF780A",1.22008245090146,1.66215414357268,0.0152610269549341,1
"63","MARCKSL1",-1.81139406699749,2.0990722279278,0.0153152621715032,1
"64","LOC118526915",1.19746849767731,1.28773117819615,0.015567112614641,1
"65","TSC22D3",-1.57886117495331,4.72975818013949,0.0158778069827577,1
"66","HSPA8",-2.78626535811346,3.78176105874995,0.0163743105505457,1
"67","TSPAN11",-1.18637039830811,4.06198902067003,0.0166651265252202,1
"68","GYG1",-1.27773465413188,2.55882287100145,0.0166902580753665,1
"69","RPS14",-1.9844107252486,3.03572944047526,0.0170044361718607,1
"70","LRG1",-2.59544918885312,1.71951975350616,0.0170517572043216,1
"71","COL1A2",-1.6559870748217,2.45737703544502,0.0181655274891316,1
"72","LOC114203865",-3.17129570423743,1.17668224614616,0.0182865668299881,1
"73","PEAR1",1.06484660008691,1.80229493444479,0.0185388302162714,1
"74","PGA4",1.90041048377479,3.48501705598774,0.0185543431981873,1
"75","CFB",-1.61364403360458,3.44912354881376,0.0196686865866283,1
"76","CRYBG2",1.00136762924361,3.82696457111828,0.0196829052991991,1
"77","LY6H",-1.19460463432633,7.7236460961561,0.0199805864132053,1
"78","HLA-DMB",-2.34835375443065,1.11154651881621,0.0200158807072388,1
"79","TENT5C",1.0651629601508,6.32523898980405,0.0201694891519256,1
"80","ATP6V1B2",-1.23893464177584,2.93502471417507,0.0210100515346975,1
"81","LTB",-1.13584375622033,1.32157150746577,0.0221196087735409,1
"82","DNAJB4",1.11308486828958,2.70093051439731,0.0222524322096157,1
"83","LOC118524348",-1.3316710742858,0.900430202740197,0.0225686603926424,1
"84","CTSF",-1.20756881860517,2.00507511713354,0.0228209540345746,1
"85","HLA-DQA1",-1.94061750193299,3.24180371974908,0.022943194940463,1
"86","TRAV19",1.06194803487004,1.72699920880386,0.0234251285205013,1
"87","SH3PXD2A",-1.21175158783342,1.71941627827408,0.0236475102028058,1
"88","SAT1",-2.5641962042887,2.52304421273022,0.0237914077127117,1
"89","LOC118539898",-1.11604148600192,1.19918022745101,0.0237943138082875,1
"90","BCO1",1.00073824394471,0.94718371893165,0.0238859670639678,1
"91","TSNAXIP1",1.67070166224659,2.2463626867278,0.0241688336091492,1
"92","CHIT1",-1.73466560772125,3.55035103134959,0.0243641009514703,1
"93","GPX2",-1.67112709633928,0.69166306154752,0.0259605332989908,1
"94","LMAN1L",1.56169024283805,1.64275375752416,0.0265028438047023,1
"95","ACTB",-1.81313372793145,5.3811683451066,0.0274720340448299,1
"96","PROM2",-1.12625705745717,2.20706843771031,0.0281383223800447,1
"97","IGHA2",1.05886881609131,8.67260446623383,0.0282953133018389,1
"98","AIF1",-1.50247194211252,1.91968752321997,0.0284865632949009,1
"99","DDX5",-2.05649198305093,4.45171121315233,0.0285473634308506,1
"100","RPL14",-1.49180192994823,3.11585652592593,0.0286006025903562,1
"101","ST13",-1.34722495776586,1.93659777164916,0.0287837086929645,1
"102","GUCA2B",-1.37762264360179,1.08528371975706,0.0290468068954307,1
"103","UBC",-1.30463737515055,5.40001059419551,0.0293933648596565,1
"104","SERPINB1",-1.08418003482244,3.39912246765138,0.0299664730646973,1
"105","PGK1",-2.64251699769186,1.59824200733111,0.0304860766175865,1
"106","ATF4",-1.64062340222229,1.95366037468858,0.0305032690053734,1
"107","SCUBE1",1.63164905047799,4.8080741640964,0.0309779566280462,1
"108","NR1I3",1.0902845079304,2.11384039909211,0.031451381612319,1
"109","RPL13A",-1.32418740714779,4.34588538479983,0.0316431798748012,1
"110","PEX11G",1.33825469646832,3.92042240751982,0.0329255074214816,1
"111","APOBEC3G",-1.84368185210217,4.58996811439311,0.0331969247054638,1
"112","LOC118528041",-1.0336669686916,1.59920498133644,0.0336360950632875,1
"113","AMOTL1",-1.41753169629835,1.15811809779885,0.033903756256121,1
"114","APOE",-1.36177195886997,2.04839576033812,0.0347146274726646,1
"115","IFIT3",-1.63762470424176,6.02733637615262,0.0362575582102567,1
"116","EIF4G2",-1.96661280198249,3.253017065611,0.0364414190789657,1
"117","LOC118546726",-1.13279770023982,1.09730846439116,0.0373053844356788,1
"118","UBA52",-1.54040620432699,4.83457086651167,0.0374434426042428,1
"119","CUNH15orf48",-1.00584494745336,3.33013478699946,0.0377284199297061,1
"120","CD2BP2",-2.24941401864928,0.692132693936715,0.0381064778544556,1
"121","EVI2B",-1.12032464553115,5.20596802803483,0.0388296749069968,1
"122","CHMP4B",-1.19639069323384,3.17204013315942,0.0389433032911091,1
"123","HNRNPK",-1.26003299288433,3.61803412730499,0.0398699466126152,1
"124","RNA28S",-1.11330178629816,13.0605462460516,0.0401046352947002,1
"125","TXNIP",-2.11958856223804,5.98074672391826,0.0403130108115001,1
"126","CPA3",-1.14552651074697,1.74835399406466,0.0419982599648732,1
"127","LOC118528991",-1.03766134749098,1.79245531777684,0.04200117483237,1
"128","KBTBD12",-1.25301602823809,1.42631958053304,0.0429730780705578,1
"129","HSPA2",1.1993589566531,3.8936815581336,0.0453500205347033,1
"130","SMAD9",-1.33842270935605,2.77755317861757,0.0460960055569285,1
"131","KIFC2",1.04871922441925,1.01958427848715,0.0462092465699051,1
"132","COX6B1",-1.13685231648781,2.18655824323717,0.0468071133801522,1
"133","LOC113924338",1.17969221384101,1.4521984037689,0.0471750197818626,1
"134","MRFAP1",-1.51989326947393,1.0535008489449,0.0472918148434099,1
"135","RUFY4",-1.28506694984815,2.73665023359655,0.0486710984089023,1
"136","CRISP2",-1.43554967600891,4.04462296343088,0.0496679753828397,1
"137","SYT11",1.00154247268958,2.25792800774052,0.0497914138269861,1
