"","gene","logFC","logCPM","PValue","FDR"
"54","SIGLEC1",-1.86859001123517,5.74239318390271,0.00343097252784421,0.335719575725654
"55","EIF5A",-1.08901208093734,1.91601694584252,0.00349581336136142,0.335719575725654
"56","GMFG",-1.01281291729036,8.29696368101988,0.00355582837183282,0.335719575725654
"57","NRGN",-1.03193415798612,7.4997429655589,0.00361464822174117,0.335719575725654
"58","CFD",-1.04272983234233,10.3862703128895,0.00365225074177517,0.335719575725654
"59","HLA-DQA1",-1.71102612928717,3.23469541542899,0.00375803519225248,0.339065090396905
"60","MNDA",-1.77485846639958,2.88158137723756,0.00388874806933254,0.339065090396905
"61","HSPB6",-1.1323501690069,2.42310605789788,0.00400588613491858,0.339065090396905
"62","SLC25A48",-1.45798188108113,3.66946198194593,0.00402762493065609,0.339065090396905
"63","TRGC1",1.04723461988942,2.5001540956766,0.00405046559469531,0.339065090396905
"64","UBC",-1.20605675839647,5.39739572498311,0.00407938152141705,0.339065090396905
"65","MPL",-1.08714665340779,3.87563832962245,0.00433425632734698,0.352691231823271
"66","NCL",-1.17384872470125,3.84640368771826,0.00446533966309564,0.352824619567435
"67","PGA4",1.60772051734503,3.47114004025643,0.00457854786205765,0.352824619567435
"68","CEBPE",-1.03543398426044,4.50132519939917,0.00458742282741421,0.352824619567435
"69","LOC118022138",1.03719177694141,1.44943618065474,0.00507592921935087,0.352824619567435
"70","HSPA8",-2.22205523993594,3.77372318688247,0.00511433523283803,0.352824619567435
"71","APOBEC3G",-1.67767226786,4.58603132446757,0.00527620748334636,0.352824619567435
"72","DHX58",-1.23745029029843,8.26552593961647,0.00547950068344436,0.352824619567435
"73","SAT1",-2.14901743200165,2.51404270881228,0.00548810545976665,0.352824619567435
"74","PCDH1",-1.31570680877742,4.06724239750034,0.0057319036798454,0.352824619567435
"75","SELENOM",-1.01260197000097,3.80597675906474,0.00595419684123271,0.352824619567435
"76","PCGF2",-1.33252382595752,4.99333567878054,0.00632789096328763,0.352824619567435
"77","ATF4",-1.37533919161244,1.94933618343437,0.00685538996942653,0.352824619567435
"78","ETV7",-1.42732190560121,4.50097416830624,0.00694611425206631,0.352824619567435
"79","HMG20B",-1.51048679013301,3.29813324070693,0.00712668226511353,0.352824619567435
"80","LY6E",-1.13798424812424,9.22380030783864,0.00724311588356245,0.352824619567435
"81","NBEAL1",1.03754770958816,3.46260520122477,0.00727822697233136,0.352824619567435
"82","TSC22D3",-1.21020439868036,4.7249052574102,0.00746735165677983,0.352824619567435
"83","ITM2B",-1.27465926116775,4.95661191400091,0.00780256236464826,0.353895556843111
"84","RPL13A",-1.13448772411027,4.34318325100494,0.00781844197871857,0.353895556843111
"85","APOE",-1.19929153579843,2.04808286860955,0.00800291895457292,0.35442970786854
"86","CARD14",-1.08794843157925,2.10077517607181,0.00801433595077201,0.35442970786854
"87","VWA5A",-1.18003133237297,3.62062241629441,0.00851619555730502,0.354795236670367
"88","MX2",-1.55923955352747,7.65889312293951,0.00917035759917113,0.354795236670367
"89","LRRC3",-1.10191652465521,2.60083987017633,0.00917849526021129,0.354795236670367
"90","IGKV4-1",-3.55290485840967,3.15269832361183,0.00921791396811911,0.354795236670367
"91","CUNH1orf35",-1.2096010240157,1.44898222440091,0.00924346133038685,0.354795236670367
"92","TGM3",-1.14113415833035,4.24796118213472,0.0101721295915287,0.354913653506457
